,feature,importance,stdev
12,TotalCharges,0.12859267186843581,0.00985191421379297
9,Contract,0.06586545055582113,0.006886259861662317
11,MonthlyCharges,0.04753862910543727,0.005387857392858967
2,InternetService,0.026894440927903208,0.006186240257123227
3,OnlineSecurity,0.014800295487942528,0.0019400010846351125
6,TechSupport,0.008023916781132345,0.0014148335160811085
10,PaymentMethod,0.005244191509898144,0.002770720215820719
1,MultipleLines,0.0035279174777523626,0.0022610771179499937
7,StreamingTV,0.003174929378475988,0.0023846170259103354
5,DeviceProtection,0.002407424298304406,0.0033893256525830777
0,PhoneService,0.0011709572021067372,0.002006892824470707
4,OnlineBackup,0.0007945634766403087,0.0025921746928244086
8,StreamingMovies,0.0006483626462328917,0.00288426661563525
